name,brand,address,town,county,latitude,longitude,fuel,price,dateupdated
Maxol,Maxol,"Dublin Rd, Pollerton Little",Carlow,Carlow,52.8475912,-6.8988632,Petrol,198.9,2026-03-20
Maxol,Maxol,"Dublin Rd, Pollerton Little",Carlow,Carlow,52.8475912,-6.8988632,Diesel,223.9,2026-03-20
Centra Carlow,Maxol,"Maxol service Station, O'Brien Rd, Rathnapish",Carlow,Carlow,52.841381999999996,-6.9088259999999995,Petrol,201.9,2026-03-20
Centra Carlow,Maxol,"Maxol service Station, O'Brien Rd, Rathnapish",Carlow,Carlow,52.841381999999996,-6.9088259999999995,Diesel,224.9,2026-03-20
Circle K Deerpark,Circle K,"N80, Dublin Rd",Deerpark,Carlow,52.845952999999994,-6.9109929999999995,Petrol,199.9,2026-03-20
Circle K Deerpark,Circle K,"N80, Dublin Rd",Deerpark,Carlow,52.845952999999994,-6.9109929999999995,Diesel,228.9,2026-03-20
"Maxol Service Station, Hannon's",Maxol,"O'Brien Rd, Rathnapish",Carlow,Carlow,52.841634899999995,-6.909082,Petrol,199.9,2026-03-20
"Maxol Service Station, Hannon's",Maxol,"O'Brien Rd, Rathnapish",Carlow,Carlow,52.841634899999995,-6.909082,Diesel,222.9,2026-03-20
Circle K Greenlane,Circle K,"Green Ln, Rathnapish",Carlow,Carlow,52.8399039,-6.919134,Petrol,199.9,2026-03-20
Circle K Greenlane,Circle K,"Green Ln, Rathnapish",Carlow,Carlow,52.8399039,-6.919134,Diesel,228.9,2026-03-20
Applegreen Tullow,Applegreen,"R725, Thomas Traynor St, Tullowbeg",Tullow,Carlow,52.80295083459569,-6.739650394452639,Petrol,189.9,2026-03-19
Applegreen Tullow,Applegreen,"R725, Thomas Traynor St, Tullowbeg",Tullow,Carlow,52.80295083459569,-6.739650394452639,Diesel,219.9,2026-03-19
Circle K Junction 5 M9,Circle K,"Junction 5, M9, Rathcrogue",Knockraheen,Carlow,52.8024722,-6.882911699999999,Petrol,188.8,2026-03-13
Circle K Junction 5 M9,Circle K,"Junction 5, M9, Rathcrogue",Knockraheen,Carlow,52.8024722,-6.882911699999999,Diesel,209.9,2026-03-13
Nolans Spar Ballon,Texaco,Main St,Ballon,Carlow,52.742428208977145,-6.771728572682747,Petrol,186.9,2026-03-13
Nolans Spar Ballon,Texaco,Main St,Ballon,Carlow,52.742428208977145,-6.771728572682747,Diesel,202.9,2026-03-13
Zerafa's Maxol Service Station,Maxol,"N80, Main St",Ballon,Carlow,52.737102,-6.768102,Petrol,185.9,2026-03-13
Zerafa's Maxol Service Station,Maxol,"N80, Main St",Ballon,Carlow,52.737102,-6.768102,Diesel,199.9,2026-03-13
Munnelly's Service Station,Great Gas,"Kilkenny Rd, Mortarstown Upper",Carlow,Carlow,52.82604464079401,-6.938188535122208,Petrol,179.9,2026-03-08
Munnelly's Service Station,Great Gas,"Kilkenny Rd, Mortarstown Upper",Carlow,Carlow,52.82604464079401,-6.938188535122208,Diesel,196.9,2026-03-08
Borris Service Station,Top,"R705, Factory Cross",Borris,Carlow,52.60431236692642,-6.937211199545914,Petrol,179.9,2026-03-07
Borris Service Station,Top,"R705, Factory Cross",Borris,Carlow,52.60431236692642,-6.937211199545914,Diesel,198.9,2026-03-07
Inver Carlow,Inver,"R924, Church St, Graigue",Carlow,Carlow,52.83857417513764,-6.942797050836475,Petrol,176.5,2026-02-16
Inver Carlow,Inver,"R924, Church St, Graigue",Carlow,Carlow,52.83857417513764,-6.942797050836475,Diesel,176.5,2026-02-16
Circle K,Circle K,Tullow Rd,Carlow,Carlow,52.83192,-6.909052099999999,Petrol,175.9,2026-02-12
Circle K,Circle K,Tullow Rd,Carlow,Carlow,52.83192,-6.909052099999999,Diesel,175.9,2026-02-12
Applegreen,Applegreen,Tullow Rd,Carlow,Carlow,52.8311607,-6.9064480999999995,Petrol,174.8,2026-02-12
Applegreen,Applegreen,Tullow Rd,Carlow,Carlow,52.8311607,-6.9064480999999995,Diesel,174.8,2026-02-12
O'Reillys Service Station,Top,"Moffat Lane, Eaglehill",Hacketstown,Carlow,52.864946251305895,-6.560235517573602,Petrol,174.9,2026-01-30
O'Reillys Service Station,Top,"Moffat Lane, Eaglehill",Hacketstown,Carlow,52.864946251305895,-6.560235517573602,Diesel,174.9,2026-01-30
Certa Fuel Depot,Certa,"Maryborough St, Graigue",Carlow,Carlow,52.838823243981835,-6.937671354417574,Diesel,170.9,2025-10-30
Drive service station,NA,"14 Seskin Rd, Coneykeare",Leighlinbridge,Carlow,52.7385264,-6.985589999999999,Petrol,176.9,2025-10-09
Drive service station,NA,"14 Seskin Rd, Coneykeare",Leighlinbridge,Carlow,52.7385264,-6.985589999999999,Diesel,172.9,2025-10-09
Certa 24/7,Certa,"R705, Upper Kilree St, Muine Bheag",Bagenalstown,Carlow,52.70022642589922,-6.957355042120184,Petrol,166.9,2025-06-03
Certa 24/7,Certa,"R705, Upper Kilree St, Muine Bheag",Bagenalstown,Carlow,52.70022642589922,-6.957355042120184,Diesel,163.9,2025-06-03
Corrigan's Inver Bagenalstown,Inver,"R705, Kilree",Bagenalstown,Carlow,52.688452324144095,-6.963580184896671,Petrol,165.9,2025-06-03
Corrigan's Inver Bagenalstown,Inver,"R705, Kilree",Bagenalstown,Carlow,52.688452324144095,-6.963580184896671,Diesel,162.9,2025-06-03
Applegreen,Applegreen,"Killeshin Rd, Ballykillen",Carlow,Carlow,52.8403657,-6.958857000000001,Petrol,175.8,2025-04-13
Centra Mullagh,NA,Ardlo Manor,Mullagh,Cavan,53.812196,-6.949413,Petrol,210.9,2026-03-20
Centra Mullagh,NA,Ardlo Manor,Mullagh,Cavan,53.812196,-6.949413,Diesel,235.9,2026-03-20
Top Oil Arva Brady's Service Station,Top,Drumalt,Arvagh,Cavan,53.921939699999996,-7.581534400000001,Diesel,216.9,2026-03-20
Top Oil Rudden Service Station,Top,"Railway Rd, Drumavanagh",Cavan,Cavan,53.990703499999995,-7.365582700000001,Petrol,195.9,2026-03-20
Top Oil Rudden Service Station,Top,"Railway Rd, Drumavanagh",Cavan,Cavan,53.990703499999995,-7.365582700000001,Diesel,215.9,2026-03-20
Go HGV 24/7 Express,Go,"R212, Dublin Rd",Cavan,Cavan,53.9845117,-7.3489979,Petrol,189.9,2026-03-18
Go HGV 24/7 Express,Go,"R212, Dublin Rd",Cavan,Cavan,53.9845117,-7.3489979,Diesel,209.9,2026-03-18
Circle K Cavan,Circle K,"Dublin Rd, Killygarry",Cavan,Cavan,53.984751499999994,-7.329288099999999,Petrol,212.9,2026-03-18
Circle K Cavan,Circle K,"Dublin Rd, Killygarry",Cavan,Cavan,53.984751499999994,-7.329288099999999,Diesel,220.9,2026-03-18
Applegreen,Applegreen,"Dublin Rd, Lisnananagh",Cavan,Cavan,53.9849111,-7.256798099999999,Petrol,189.9,2026-03-18
Applegreen,Applegreen,"Dublin Rd, Lisnananagh",Cavan,Cavan,53.9849111,-7.256798099999999,Diesel,209.9,2026-03-18
Ballinagh Service Station,Klass Oil,"N55, Bellananagh",Ballinagh,Cavan,53.9334056,-7.4080246,Petrol,186.9,2026-03-13
Ballinagh Service Station,Klass Oil,"N55, Bellananagh",Ballinagh,Cavan,53.9334056,-7.4080246,Diesel,205.9,2026-03-13
Maxol Service Station Cullies,Maxol,Cullies,Cavan,Cavan,54.0098166,-7.355987900000001,Diesel,199.9,2026-03-10
Certa Cavan,Certa,"Farnham Rd, Drumavanagh",Cavan,Cavan,53.996236884832655,-7.369778250351374,Diesel,206.9,2026-03-10
Applegreen,Applegreen,Cootehill Rd,Drumalee,Cavan,54.001075099999994,-7.3535686,Diesel,185.8,2026-03-07
Lynch's Killydoon ,Emo,"L2527, Main St, Killydoon",Loughduff,Cavan,53.866293399999996,-7.440544300000001,Petrol,178.9,2026-01-31
Lynch's Killydoon ,Emo,"L2527, Main St, Killydoon",Loughduff,Cavan,53.866293399999996,-7.440544300000001,Diesel,178.9,2026-01-31
Circle K,Circle K,"Dublin Road, Knockanoark",Cavan,Cavan,53.964828499999996,-7.229530100000001,Petrol,173.9,2026-01-31
Circle K,Circle K,"Dublin Road, Knockanoark",Cavan,Cavan,53.964828499999996,-7.229530100000001,Diesel,173.9,2026-01-31
MACE Belturbet,NA,Kilconny,Belturbet,Cavan,54.101727,-7.45079,Petrol,177.9,2025-11-23
MACE Belturbet,NA,Kilconny,Belturbet,Cavan,54.101727,-7.45079,Diesel,176.9,2025-11-23
Top Oil Service Station Drumacon,Top,Drumacon,Belturbet,Cavan,54.102075899999996,-7.4648452,Petrol,177.9,2025-11-23
Top Oil Service Station Drumacon,Top,Drumacon,Belturbet,Cavan,54.102075899999996,-7.4648452,Diesel,176.9,2025-11-23
Go 24hr,Go,"N16, Sligo Rd, Tuam",Blacklion,Cavan,54.291678499999996,-7.878830400000001,Petrol,155.9,2025-11-23
Go 24hr,Go,"N16, Sligo Rd, Tuam",Blacklion,Cavan,54.291678499999996,-7.878830400000001,Diesel,155.9,2025-11-23
Kiernans Texaco Service Station/Spar,Texaco,Dublin Road,Cavan,Cavan,53.984007999999996,-7.3311223,Petrol,173.9,2025-08-03
Kiernans Texaco Service Station/Spar,Texaco,Dublin Road,Cavan,Cavan,53.984007999999996,-7.3311223,Diesel,172.9,2025-08-03
Daybreak,Applegreen,"N3, Dublin Road, Rahardrum",Virginia,Cavan,53.834397589775136,-7.076945313730562,Petrol,174.8,2025-08-03
