county,fuel,ID,Lat,Lng,name,brand,addr1,addr2,price,trend,dateupdated,dateupdatedshort,Updater,Zone,County
Carlow,Diesel,2847,52.480896196,-6.588741894,Martin's Service Station,Emo,Monfin Rd,Enniscorthy,115.9,down,2016-05-14,14th May,hilwin,Enniscorthy,Wexford
Carlow,Diesel,1473,52.519581022,-6.558630540,Town & Country Store,Campus,Old Dublin Rd,Enniscorthy,118.9,down,2015-12-28,28th Dec,jamesf,Enniscorthy,Wexford
Carlow,Diesel,1386,52.629950275,-6.992862225,Morris Oil,Morris Oil,Main Street,Barrowmount,120.9,down,2020-12-14,14th Dec,Mike59,Goresbridge,Kilkenny
Carlow,Diesel,4707,52.840177357,-6.958916187,Applegreen,Applegreen,Killeshin Rd,Derrymoyle,122.8,up,2018-03-11,11th Mar,wanderer63,Other,Laois
Carlow,Diesel,1738,52.864781587,-6.559981219,Hillview Service Station,Top,Moffets Ln,Hacketstown,126.9,down,2019-01-16,16th Jan,darmanted,Hacketstown,Carlow
Carlow,Diesel,412,52.832415591,-6.909123504,Vale Oil,Independent,Tullow Road,Carlow,126.9,down,2017-12-14,14th Dec,oleg,Carlow,Carlow
Carlow,Diesel,4358,52.522227034,-6.557807922,Topaz Depot,Topaz,Enniscorthy,Old Dublin Road,131.9,up,2015-06-26,26th Jun,jennifer1312,Enniscorthy,Wexford
Carlow,Diesel,2963,52.840420381,-6.946336627,Topaz,Topaz,Portlaoise Rd,Graiguecullen,136.9,down,2018-08-28,28th Aug,dcoveney,Carlow,Carlow
Carlow,Diesel,1737,52.754580957,-6.536865234,Top Oil,Top,Main St,Shillelagh,137.9,up,2018-12-17,17th Dec,Mike59,Shillelagh,Wicklow
Carlow,Diesel,4309,52.839120998,-6.896431446,Murphy Bros,Independent,Pollerton Ind. Est.,Carlow,149.9,up,2018-06-29,29th Jun,123456789,Carlow,Carlow
Carlow,Diesel,464,52.880940944,-6.696681976,casserlys,Independent,N81,Rathvilly,149.9,up,2011-12-15,15th Dec,prblack,Rathvilly,Carlow
Carlow,Diesel,1100,52.700179253,-6.957581184,GreatGas express 24/7 Bagenalstown,Great Gas,Kilree Street,Bagenalstown,152.9,down,2023-04-11,11th Apr,trevally,Bagenalstown,Carlow
Carlow,Diesel,684,52.825957289,-6.938154194,Munnelly's Garage ,Great Gas,Kilkenny Road,Carlow,154.9,down,2023-04-13,13th Apr,dcoveney.,Carlow,Carlow
Carlow,Diesel,1099,52.700210147,-6.964302063,McCullaghs Service Station Ltd,Independent,Royal Oak Rd,Bagenalstown,154.9,down,2023-04-13,13th Apr,06548113...,Bagenalstown,Carlow
Carlow,Diesel,540,52.738234997,-6.985441190,Walsh's Filling Station,Drive Service Stations,Seskin Rd,Leighlinbridge,154.9,down,2023-04-13,13th Apr,06548113...,Leighlinbridge,Carlow
Carlow,Diesel,1426,52.688487847,-6.963700639,Independent,Independent,Borris Road,Bagenalstown,154.9,down,2023-04-11,11th Apr,trevally,Bagenalstown,Carlow
